bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
14346,Pleural remotor/abductor MN,MN,T1,0.22693540155887604,0.4881645441055298,0.1474447399377823,0.0,True
14449,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
14468,Ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
14536,Tr extensor MN,MN,T1,0.0,0.0,0.0,0.0,True
14596,Pleural remotor/abductor MN,MN,T3,0.0,0.0,0.0,0.0,True
14622,MNhl75,MN,T3,0.0,0.0,0.0,0.0,True
14649,MNhl29,MN,T3,0.0,0.0,0.0,0.0,True
14665,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
14773,ltm2-femur MN,MN,T3,0.0,0.0,0.0,0.0,True
14775,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
14783,Acc. tr flexor MN,MN,T1,1.9819519519805908,2.0140738487243652,0.019141219556331635,1.0,True
14798,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
14824,Acc. ti flexor MN,MN,T1,0.8923132419586182,0.8932195901870728,0.00038691225927323103,0.0,True
14828,MNml81,MN,T2,0.0,0.0,0.0,0.0,True
14848,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
14849,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
14949,Fe reductor MN,MN,T1,0.0,0.0,0.0,0.0,True
15006,Tr flexor MN,MN,T2,5.637723922729492,15.71347713470459,4.736835479736328,0.8392186326070623,True
15023,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
15038,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
15107,Tergotr. MN,MN,T2,0.0,0.0,0.0,0.0,True
15149,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
15262,Pleural remotor/abductor MN,MN,T3,2.2830612659454346,2.452683448791504,0.06502094864845276,1.0,True
15278,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
15317,ltm2-femur MN,MN,T1,0.0,0.0,0.0,0.0,True
15321,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
15367,Acc. ti flexor MN,MN,T1,0.00012174036237411201,0.023893902078270912,0.0011123535223305225,0.0,True
15380,ltm MN,MN,T3,0.0,0.0,0.0,0.0,True
