experiment_id,condition,comparison,metric,n_pairs,mean_difference,ci_low,ci_high,cohens_dz,p_raw,test,p_holm
B1,novel,full - no_cpg,motor_rhythm_power,8,0.711833018809557,0.6366414166986942,0.7705627335235476,6.983212268405948,2.1307894503973287e-07,paired two-sided t; descriptive at small n,3.537110487659566e-05
B1,novel,full - no_cpg,key_accuracy,8,0.3125,0.12500000000000003,0.49999999999999994,1.1127477464231559,0.016212469748676038,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_cpg,timing_mae_s,6,-0.001246031746031502,-0.0025582010582008916,-7.936507936459151e-05,-0.7164395141554669,0.13963588193315574,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_delay,motor_rhythm_power,8,0.4341342858970165,0.24848237726837397,0.616556690633297,1.5361696904212616,0.0033756243225528454,paired two-sided t; descriptive at small n,0.38482117277102434
B1,novel,full - no_delay,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_delay,timing_mae_s,8,-0.0006884920634920473,-0.0013571924603174542,-0.00012500000000000532,-0.6981211050869871,0.08888852446854148,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_dn,motor_rhythm_power,8,0.711833018809557,0.6366414166986942,0.7705627335235476,6.983212268405948,2.1307894503973287e-07,paired two-sided t; descriptive at small n,3.537110487659566e-05
B1,novel,full - no_dn,key_accuracy,8,0.53125,0.3854166666666667,0.6458333333333334,2.546364930439932,0.0001771160310759399,paired two-sided t; descriptive at small n,0.023910664195251886
B1,novel,full - no_feedback,motor_rhythm_power,8,-0.0018913261592388153,-0.016361061483621597,0.011187055334448815,-0.08849660023470975,0.8095380740945592,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_feedback,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_feedback,timing_mae_s,8,-0.00010714285714285253,-0.0003214285714285576,0.0,-0.3535533905932738,0.3506166628202074,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_inhibition,motor_rhythm_power,8,0.6487706732004881,0.5799603900872171,0.7114064553752542,6.414623422988731,3.822304494928992e-07,paired two-sided t; descriptive at small n,6.115687191886387e-05
B1,novel,full - no_inhibition,key_accuracy,8,-0.05208333333333332,-0.07291666666666669,-0.020833333333333336,-1.20761472884912,0.01120143255409014,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_inhibition,timing_mae_s,8,0.018225892857142864,0.015372105654761797,0.0209797817460318,4.033087117382042,8.926145061048157e-06,paired two-sided t; descriptive at small n,0.0012942910338519828
B1,novel,full - no_interleg,motor_rhythm_power,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_interleg,key_accuracy,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_interleg,timing_mae_s,8,0.0,0.0,0.0,,1.0,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_intraleg,motor_rhythm_power,8,0.711833018809557,0.6366414166986942,0.7705627335235476,6.983212268405948,2.1307894503973287e-07,paired two-sided t; descriptive at small n,3.537110487659566e-05
B1,novel,full - no_intraleg,key_accuracy,8,0.3125,0.12500000000000003,0.49999999999999994,1.1127477464231559,0.016212469748676038,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_intraleg,timing_mae_s,6,-0.001246031746031502,-0.0025582010582008916,-7.936507936459151e-05,-0.7164395141554669,0.13963588193315574,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_memory,motor_rhythm_power,8,0.0009020902216434479,-0.012960727699100972,0.013555322960019113,0.044220599565584766,0.9039805934580848,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_memory,key_accuracy,8,-0.06249999999999999,-0.12499999999999999,6.938893903907228e-18,-0.643796306459214,0.11141646787533994,paired two-sided t; descriptive at small n,1.0
B1,novel,full - no_memory,timing_mae_s,8,-0.01665228174603165,-0.018589422123015835,-0.015131324404761743,-6.034373386122303,5.813586261337667e-07,paired two-sided t; descriptive at small n,9.243602155526892e-05
B1,novel,full - randomized,motor_rhythm_power,8,0.711833018809557,0.6366414166986942,0.7705627335235476,6.983212268405948,2.1307894503973287e-07,paired two-sided t; descriptive at small n,3.537110487659566e-05
B1,novel,full - randomized,key_accuracy,8,-0.46874999999999994,-0.6145833333333333,-0.35416666666666663,-2.2467925856822926,0.0003834312240715919,paired two-sided t; descriptive at small n,0.05022949035337841
B1,novel,full - randomized,timing_mae_s,8,0.019482142857142865,0.015372668650793455,0.02192261904761922,3.4415666581399647,2.5544477116752266e-05,paired two-sided t; descriptive at small n,0.003550682319228565
B1,novel,full - rnn,motor_rhythm_power,8,0.711833018809557,0.6366414166986942,0.7705627335235476,6.983212268405948,2.1307894503973287e-07,paired two-sided t; descriptive at small n,3.537110487659566e-05
B1,novel,full - rnn,key_accuracy,8,-0.46874999999999994,-0.6145833333333333,-0.35416666666666663,-2.2467925856822926,0.0003834312240715919,paired two-sided t; descriptive at small n,0.05022949035337841
B1,novel,full - rnn,timing_mae_s,8,0.023315476190476223,0.022551587301587378,0.0240238095238095,20.534491416888656,1.1769870418129857e-10,paired two-sided t; descriptive at small n,2.1538862865177638e-08
B1,novel,full - sequence_specific,motor_rhythm_power,8,-0.001111391931772232,-0.012262295186519622,0.01043776050209999,-0.0631290016861688,0.8633443520862711,paired two-sided t; descriptive at small n,1.0
B1,novel,full - sequence_specific,key_accuracy,8,0.40625,0.23958333333333331,0.5625,1.6266145061110988,0.002481946118177929,paired two-sided t; descriptive at small n,0.2953515880631735
B1,novel,full - sequence_specific,timing_mae_s,6,0.024499999999999533,0.02299999999999952,0.025888888888888417,11.808170629052873,9.256923286971737e-07,paired two-sided t; descriptive at small n,0.00014348231094806193
B2,height,full - direct,motor_rhythm_power,8,-0.002999342978000641,-0.015198912099003791,0.009802135452628136,-0.15320907987307641,0.6778072339281075,paired two-sided t; descriptive at small n,1.0
B2,height,full - direct,key_accuracy,8,-0.1875,-0.32291666666666663,-0.0625,-0.9240755719369508,0.0347269062186254,paired two-sided t; descriptive at small n,1.0
B2,height,full - direct,timing_mae_s,8,0.04435517676767675,0.03161060606060604,0.05558749999999998,2.425746238396217,0.00023958783778769724,paired two-sided t; descriptive at small n,0.031865182425763736
B2,height,full - no_body_mapping,motor_rhythm_power,8,0.0006879791617393494,-0.005535833537578583,0.007321567460894588,0.06958928642674601,0.8495547863146388,paired two-sided t; descriptive at small n,1.0
B2,height,full - no_body_mapping,key_accuracy,8,0.07291666666666669,2.7755575615628914e-17,0.15625,0.6002450479987811,0.13336447210024227,paired two-sided t; descriptive at small n,1.0
B2,height,full - no_body_mapping,timing_mae_s,8,0.06395934343434348,0.0630853535353536,0.06495266729797981,44.585350669086125,5.200203421103123e-13,paired two-sided t; descriptive at small n,9.568374294829746e-11
B2,height,full - no_memory,motor_rhythm_power,8,-0.005743257701396942,-0.02233263887465,0.012125811167061329,-0.21961988047350248,0.5541628706899717,paired two-sided t; descriptive at small n,1.0
B2,height,full - no_memory,key_accuracy,8,0.04166666666666668,6.938893903907228e-18,0.0729166666666667,0.6614378277661478,0.10355171027145908,paired two-sided t; descriptive at small n,1.0
B2,height,full - no_memory,timing_mae_s,8,0.0006919191919191811,-0.0005936521464646062,0.0018922206439394228,0.3592700257733621,0.3433776668414149,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - direct,motor_rhythm_power,8,-0.01069890707731247,-0.023963169008493424,0.0004243776202201843,-0.5631654950086624,0.1552167747462518,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - direct,key_accuracy,8,0.4791666666666667,0.3333333333333333,0.6145833333333333,2.2073442008560047,0.00042690858494615633,paired two-sided t; descriptive at small n,0.05421739028816185
B2,mirrored,full - direct,timing_mae_s,2,-7.077671781985373e-16,-0.00020000000000068574,0.0001999999999992702,-2.5023348560275422e-12,1.0,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - no_body_mapping,motor_rhythm_power,8,0.0602058544754982,0.0062223076820373535,0.10574592724442483,0.7833116183027441,0.06228589454408815,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - no_body_mapping,key_accuracy,8,0.46875,0.3333333333333333,0.6041666666666666,2.246792585682293,0.0003834312240715909,paired two-sided t; descriptive at small n,0.05022949035337841
B2,mirrored,full - no_body_mapping,timing_mae_s,5,-0.0641714285714284,-0.08354285714285713,-0.04479999999999964,-2.5108344385364587,0.004945935347722209,paired two-sided t; descriptive at small n,0.5489988235971652
B2,mirrored,full - no_memory,motor_rhythm_power,8,-0.006563343107700348,-0.016416186466813087,0.0028542354702949524,-0.43509313492516605,0.25820577795600447,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - no_memory,key_accuracy,8,-0.04166666666666667,-0.07291666666666667,-0.010416666666666671,-0.9354143466934853,0.03314550026377369,paired two-sided t; descriptive at small n,1.0
B2,mirrored,full - no_memory,timing_mae_s,8,-0.016818650793650754,-0.01776607142857131,-0.015803769841269823,-11.112117380797127,8.52788093892515e-09,paired two-sided t; descriptive at small n,1.5350185690065269e-06
B2,shifted,full - direct,motor_rhythm_power,8,-0.00998825952410698,-0.013416103553026915,-0.0059036985039711,-1.7213764794543294,0.0018167745572073176,paired two-sided t; descriptive at small n,0.22346327053650006
B2,shifted,full - direct,key_accuracy,8,0.4479166666666667,0.2604166666666667,0.6145833333333333,1.6114931313411023,0.002611145011181954,paired two-sided t; descriptive at small n,0.30289282129710665
B2,shifted,full - direct,timing_mae_s,8,0.002406746031746487,-0.0020522817460314675,0.006930902777778277,0.3402494693697959,0.36792105900714955,paired two-sided t; descriptive at small n,1.0
B2,shifted,full - no_body_mapping,motor_rhythm_power,8,-0.002425074577331543,-0.0057401183992624285,0.0003846131265163423,-0.5144222966121361,0.18899700428158092,paired two-sided t; descriptive at small n,1.0
B2,shifted,full - no_body_mapping,key_accuracy,8,0.625,0.45833333333333337,0.75,2.7003086243366083,0.00012239578027890596,paired two-sided t; descriptive at small n,0.016768221898210117
B2,shifted,full - no_memory,motor_rhythm_power,8,-0.003320503979921341,-0.010991220921278,0.005437500588595872,-0.2631648012880475,0.48090479245714696,paired two-sided t; descriptive at small n,1.0
B2,shifted,full - no_memory,key_accuracy,8,0.041666666666666685,-0.010416666666666656,0.09375000000000003,0.540061724867322,0.1704706607870537,paired two-sided t; descriptive at small n,1.0
B2,shifted,full - no_memory,timing_mae_s,8,-0.016429563492063454,-0.018878968253968193,-0.013901550099206341,-4.2098533027070575,6.698024224941003e-06,paired two-sided t; descriptive at small n,0.0009779115368413864
